08/31/25 - 14:16:07.515149 [info] Loading AnimationMotionRevolution 1.5.3.0...
08/31/25 - 14:16:07.520592 [debug] Default Trampoline => 0B / 45B (00.00%)
08/31/25 - 14:16:07.520619 [debug] Default Trampoline => 31B / 45B (68.89%)
08/31/25 - 14:16:07.520626 [debug] Default Trampoline => 45B / 45B (100.00%)
08/31/25 - 14:16:07.520671 [debug] Default Trampoline => 0B / 45B (00.00%)
08/31/25 - 14:16:07.520677 [debug] Default Trampoline => 31B / 45B (68.89%)
08/31/25 - 14:16:07.520683 [debug] Default Trampoline => 45B / 45B (100.00%)
08/31/25 - 14:16:07.520708 [debug] Default Trampoline => 0B / 45B (00.00%)
08/31/25 - 14:16:07.520713 [debug] Default Trampoline => 31B / 45B (68.89%)
08/31/25 - 14:16:07.520719 [debug] Default Trampoline => 45B / 45B (100.00%)
08/31/25 - 14:16:07.520741 [debug] Default Trampoline => 0B / 45B (00.00%)
08/31/25 - 14:16:07.520747 [debug] Default Trampoline => 31B / 45B (68.89%)
08/31/25 - 14:16:07.520752 [debug] Default Trampoline => 45B / 45B (100.00%)
08/31/25 - 14:16:07.520774 [debug] Default Trampoline => 0B / 45B (00.00%)
08/31/25 - 14:16:07.520779 [debug] Default Trampoline => 31B / 45B (68.89%)
08/31/25 - 14:16:07.520784 [debug] Default Trampoline => 45B / 45B (100.00%)
08/31/25 - 14:16:07.520818 [debug] Default Trampoline => 0B / 45B (00.00%)
08/31/25 - 14:16:07.520826 [debug] Default Trampoline => 31B / 45B (68.89%)
08/31/25 - 14:16:07.520834 [debug] Default Trampoline => 45B / 45B (100.00%)
08/31/25 - 14:16:07.520855 [info] Succesfully loaded!
08/31/25 - 14:35:41.989101 [warning] Animation=Animations\DodgeLeft.hkx of hkbCharacter=0x19802e8c9c0 ends at 0.866667, while custom translation ends at 0.7
08/31/25 - 14:35:42.114568 [warning] Animation=Animations\TKDodge\Stepdodgeleft.hkx of hkbCharacter=0x19802e8c9c0 ends at 0.9, while custom translation ends at 0.833333
08/31/25 - 14:35:46.651942 [warning] Animation=Animations\TKDodge\Stepdodgeright.hkx of hkbCharacter=0x19802e8c9c0 ends at 0.9, while custom translation ends at 0.833333
08/31/25 - 14:41:16.914475 [warning] Animation=Animations\MCO_powerattack1.hkx of hkbCharacter=0x19801ede040 ends at 2.166667, while custom translation ends at 1.99998
08/31/25 - 14:41:18.023107 [warning] Animation=Animations\MCO_attack2.hkx of hkbCharacter=0x19801ede040 ends at 1.833333, while custom translation ends at 0.499995
08/31/25 - 14:41:19.593712 [warning] Animation=Animations\MCO_attack1.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
08/31/25 - 14:41:19.639292 [warning] Animation=Animations\MCO_powerattack1.hkx of hkbCharacter=0x19801ede040 ends at 2.166667, while custom translation ends at 1.99998
08/31/25 - 14:41:19.666128 [warning] Animation=Animations\MCO_attack1.hkx of hkbCharacter=0x19baa01a2c0 ends at 2.4, while custom translation ends at 2.166666
08/31/25 - 14:41:20.382085 [warning] Animation=Animations\MCO_attack2.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 0.499995
08/31/25 - 14:42:35.612562 [warning] Animation=Animations\DodgeLeft.hkx of hkbCharacter=0x19baa0189c0 ends at 0.866667, while custom translation ends at 0.7
08/31/25 - 14:42:35.642102 [warning] Animation=Animations\TKDodge\Stepdodgeleft.hkx of hkbCharacter=0x19baa0189c0 ends at 0.9, while custom translation ends at 0.833333
08/31/25 - 14:42:35.857944 [warning] Animation=Animations\modernstaggerlock\MSL_staggerBackwardSmall.hkx of hkbCharacter=0x19baa0189c0 ends at 0.75, while custom translation ends at 0.5
08/31/25 - 14:42:38.756664 [warning] Animation=Animations\TKDodge\Stepdodgeback.hkx of hkbCharacter=0x19baa0189c0 ends at 0.933333, while custom translation ends at 0.833333
08/31/25 - 14:44:48.452080 [warning] Animation=Animations\MCO_attack1.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
08/31/25 - 14:44:49.196608 [warning] Animation=Animations\MCO_attack2.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 0.499995
08/31/25 - 14:44:49.753676 [warning] Animation=Animations\MCO_attack3.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
08/31/25 - 14:44:51.753913 [warning] Animation=Animations\MCO_attack1.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
08/31/25 - 14:44:52.064042 [warning] Animation=Animations\DodgeBack.hkx of hkbCharacter=0x19802e8c4c0 ends at 0.866667, while custom translation ends at 0.8
08/31/25 - 14:44:52.077774 [warning] Animation=Animations\TKDodge\Stepdodgeback.hkx of hkbCharacter=0x19802e8c4c0 ends at 0.933333, while custom translation ends at 0.833333
08/31/25 - 14:44:52.292806 [warning] Animation=Animations\MCO_attack2.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 0.499995
08/31/25 - 14:44:52.828190 [warning] Animation=Animations\MCO_attack3.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
08/31/25 - 14:44:54.726065 [warning] Animation=Animations\MCO_attack1.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
08/31/25 - 14:44:55.135903 [warning] Animation=Animations\MaxsuBlockOverhaul\Maxsu_ShieldBlockHit.hkx of hkbCharacter=0x19802e8c4c0 ends at 1, while custom translation ends at 0.2
08/31/25 - 14:44:55.491363 [warning] Animation=Animations\MCO_attack2.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 0.499995
08/31/25 - 14:44:56.042360 [warning] Animation=Animations\MCO_attack3.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
08/31/25 - 14:44:56.292628 [warning] Animation=Animations\MCO_attack1.hkx of hkbCharacter=0x19baa01a2c0 ends at 2.4, while custom translation ends at 2.166666
08/31/25 - 14:44:56.605639 [warning] Animation=Animations\MCO_attack4.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 0.499995
08/31/25 - 14:44:57.134137 [warning] Animation=Animations\MCO_attack1.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
08/31/25 - 14:44:57.353315 [warning] Animation=Animations\MCO_attack2.hkx of hkbCharacter=0x19baa01a2c0 ends at 2.366667, while custom translation ends at 2.133332
08/31/25 - 14:44:57.666398 [warning] Animation=Animations\MCO_attack2.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 0.499995
08/31/25 - 14:44:58.222900 [warning] Animation=Animations\MCO_attack3.hkx of hkbCharacter=0x199238c22c0 ends at 1.833333, while custom translation ends at 1.66665
