[2025-08-17 20:29:33.254] [Global] [info] [32400] [main.cpp:57] Log Level: trace
[2025-08-17 20:29:33.254] [Global] [info] [32400] [main.cpp:222] NOTE: This is not a crashlog. Crashlogs have the name crash-[TIMESTAMP].log
[2025-08-17 20:29:33.254] [Global] [info] [32400] [main.cpp:223] CrashLogger 1.15.0.0 Oct 12 2024 11:33:37 is loading...
[2025-08-17 20:29:33.255] [Global] [info] [32400] [CrashHandler.cpp:596] installed crash handlers
[2025-08-17 20:29:33.255] [Global] [info] [32400] [CrashHandler.cpp:599] Crash Logs will be written to C:\Users\Kutan\Documents\My Games\Skyrim Special Edition\SKSE
[2025-08-17 20:29:33.255] [Global] [info] [32400] [main.cpp:230] CrashLogger has finished loading.
[2025-08-17 22:03:56.846] [Global] [info] [30264] [PdbHandler.cpp:353] Symcache not found at c:\symcache
[2025-08-17 22:03:56.846] [Global] [info] [30264] [PdbHandler.cpp:370] Attempting to find pdb for D:/STOCK GAME/SkyrimSE.exe+03FA70E with path Data/SKSE/Plugins
[2025-08-17 22:03:56.856] [Global] [info] [30264] [PdbHandler.cpp:374] Failed to open pdb for dll D:/STOCK GAME/SkyrimSE.exe+03FA70E	Unable to locate PDB
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+03FA70E	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+041B1DE	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+041B314	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+0642B43	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+0648F79	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+066074D	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+06414A8	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+05D6D8F	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+06DBBF2	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+06E16DE	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+0C32A81	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+0C32EE1	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+0C32929	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+063FECF	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+0C32A81	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+0C34C48	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll D:/STOCK GAME/SkyrimSE.exe+0C0D6BD	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll C:/WINDOWS/System32/KERNEL32.DLL+002E8D7	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [PdbHandler.cpp:314] Failed to initialize COM library for dll C:/WINDOWS/SYSTEM32/ntdll.dll+003C34C	Cannot change thread mode after it is set.
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataBool*)	.?AVBGSPackageDataBool@@
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataBool*)	.?AV?$BGSNamedPackageData@VIPackageData@@@@
[2025-08-17 22:03:57.018] [Global] [info] [30264] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataBool*)	.?AVIPackageData@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.018] [Global] [info] [40188] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVBGSPackageDataRef@@
[2025-08-17 22:03:57.018] [Global] [info] [40188] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AV?$BGSPackageDataPointerTemplate@VIAITarget@@VPackageTarget@@$1?kPackageDataRef2TypeName@@3VBSFixedString@@B@@
[2025-08-17 22:03:57.018] [Global] [info] [40188] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AV?$BGSNamedPackageData@VIAITarget@@@@
[2025-08-17 22:03:57.018] [Global] [info] [40188] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVIAITarget@@
[2025-08-17 22:03:57.018] [Global] [info] [40188] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVIPackageDataAIWorldLocationHandle@@
[2025-08-17 22:03:57.018] [Global] [info] [40188] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVIAIWorldLocationHandle@@
[2025-08-17 22:03:57.018] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AVBGSProcedurePursue@@
[2025-08-17 22:03:57.018] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AV?$BGSProcedureTyped@VBGSProcedureBase@@$1?kProcedurePursueParamTypes@@3QBUBGSProcedureParamInfo@@B@@
[2025-08-17 22:03:57.018] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AVBGSProcedureBase@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.018] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AVIProcedure@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBSHandleRefObject@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVNiRefObject@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@UBSAnimationGraphEvent@@@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVIAnimationGraphManagerHolder@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVMagicTarget@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActorValueOwner@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActorState@@
[2025-08-17 22:03:57.018] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AUIMovementState@@
[2025-08-17 22:03:57.018] [Global] [info] [40188] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVIPackageData@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBSHandleRefObject@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVNiRefObject@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@UBSAnimationGraphEvent@@@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVIAnimationGraphManagerHolder@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVMagicTarget@@
