08/24/25 - 01:00:42.854130 [info] Loading InfinityUI 2.0.1.0...
08/24/25 - 01:00:42.858489 [debug] Default Trampoline => 0B / 84B (00.00%)
08/24/25 - 01:00:42.858504 [debug] Default Trampoline => 31B / 84B (36.90%)
08/24/25 - 01:00:42.858510 [debug] Default Trampoline => 39B / 84B (46.43%)
08/24/25 - 01:00:42.858526 [debug] Default Trampoline => 70B / 84B (83.33%)
08/24/25 - 01:00:42.858532 [debug] Default Trampoline => 84B / 84B (100.00%)
08/24/25 - 01:00:42.858545 [info] Succesfully loaded!
08/24/25 - 01:02:09.477831 [trace] Detected LoadingMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:02:09.477919 [debug] Patches loaded for Interface/LoadingMenu.swf: 0
08/24/25 - 01:02:09.477925 [debug] 
08/24/25 - 01:02:09.497697 [trace] Detected FaderMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:02:09.497755 [debug] Patches loaded for Interface/FaderMenu.swf: 0
08/24/25 - 01:02:09.497761 [debug] 
08/24/25 - 01:02:09.522181 [trace] Detected LoadWaitSpinner movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:02:09.522260 [debug] Patches loaded for Interface/LoadWaitSpinner.swf: 0
08/24/25 - 01:02:09.522268 [debug] 
08/24/25 - 01:02:11.266875 [trace] Detected KinectMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:02:11.266940 [debug] Patches loaded for Interface/KinectMenu.swf: 0
08/24/25 - 01:02:11.266948 [debug] 
08/24/25 - 01:03:39.002423 [trace] Detected StartMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:03:39.002520 [debug] Patches loaded for Interface/StartMenu.swf: 0
08/24/25 - 01:03:39.002528 [debug] 
08/24/25 - 01:03:39.142269 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:03:39.142331 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:03:39.142338 [debug] 
08/24/25 - 01:03:39.173474 [trace] Detected Console movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:03:39.173541 [debug] Patches loaded for Interface/Console.swf: 0
08/24/25 - 01:03:39.173548 [debug] 
08/24/25 - 01:03:39.202460 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:03:39.202541 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:03:39.202549 [debug] 
08/24/25 - 01:03:39.204248 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:03:39.204308 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:03:39.204314 [debug] 
08/24/25 - 01:03:39.223593 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:03:39.223650 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:03:39.223656 [debug] 
08/24/25 - 01:03:39.237918 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:03:39.237977 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:03:39.237983 [debug] 
08/24/25 - 01:03:52.061059 [trace] Detected HUDMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:03:52.061118 [debug] The path "D:\STOCK GAME\Data\Interface\InfinityUI\HUDMenu" exists, loading instance patches...
08/24/25 - 01:03:52.061966 [debug] Relative path is "InfinityUI\HUDMenu\HUDMovieBaseInstance\QuestItemList.swf"
08/24/25 - 01:03:52.061982 [trace] Relative path to SWF: HUDMovieBaseInstance\QuestItemList.swf
08/24/25 - 01:03:52.062006 [debug] Patch found at "D:\STOCK GAME\Data\Interface\InfinityUI\HUDMenu\HUDMovieBaseInstance\QuestItemList.swf"
08/24/25 - 01:03:52.062030 [trace] Relative path to patch is: InfinityUI\HUDMenu\HUDMovieBaseInstance\QuestItemList.swf
08/24/25 - 01:03:52.068279 [trace] New instance loaded!
08/24/25 - 01:03:52.068299 [trace] 
08/24/25 - 01:03:52.068331 [trace] _level0.HUDMovieBaseInstance: DisplayObject
08/24/25 - 01:03:52.068337 [trace] {
08/24/25 - 01:03:52.068344 [trace] 	var TutorialLockInstance: DisplayObject
08/24/25 - 01:03:52.068350 [trace] 	var LocationLockBase: DisplayObject
08/24/25 - 01:03:52.068355 [trace] 	var CompassShoutMeterHolder: DisplayObject
08/24/25 - 01:03:52.068360 [trace] 	var Crosshair: DisplayObject
08/24/25 - 01:03:52.068400 [trace] 	var StealthMeterInstance: DisplayObject
08/24/25 - 01:03:52.068407 [trace] 	var SubtitleTextHolder: DisplayObject
08/24/25 - 01:03:52.068412 [trace] 	var RolloverName_mc: DisplayObject
08/24/25 - 01:03:52.068418 [trace] 	var RolloverInfo_mc: DisplayObject
08/24/25 - 01:03:52.068423 [trace] 	var GrayBarInstance: DisplayObject
08/24/25 - 01:03:52.068428 [trace] 	var ActivateButton: DisplayObject
08/24/25 - 01:03:52.068434 [trace] 	var WeightTranslated: DisplayObject
08/24/25 - 01:03:52.068439 [trace] 	var ValueTranslated: DisplayObject
08/24/25 - 01:03:52.068444 [trace] 	var FloatingQuestMarkerInstance: DisplayObject
08/24/25 - 01:03:52.068450 [trace] 	var FavorBackButtonBase: DisplayObject
08/24/25 - 01:03:52.068455 [trace] 	var Health: DisplayObject
08/24/25 - 01:03:52.068460 [trace] 	var ChargeMeterBaseAlt: DisplayObject
08/24/25 - 01:03:52.068465 [trace] 	var Magica: DisplayObject
08/24/25 - 01:03:52.068471 [trace] 	var Stamina: DisplayObject
08/24/25 - 01:03:52.068476 [trace] 	var BottomLeftLockInstance: DisplayObject
08/24/25 - 01:03:52.068482 [trace] 	var BottomRightLockInstance: DisplayObject
08/24/25 - 01:03:52.068487 [trace] 	var ArrowInfoInstance: DisplayObject
08/24/25 - 01:03:52.068492 [trace] 	var MessagesBlock: DisplayObject
08/24/25 - 01:03:52.068498 [trace] 	var TimeDisplay: DisplayObject
08/24/25 - 01:03:52.068503 [trace] 	var EnemyHealth_mc: DisplayObject
08/24/25 - 01:03:52.068508 [trace] 	var QuestUpdateBaseInstance: DisplayObject
08/24/25 - 01:03:52.068513 [trace] 	var TopLeftRefInstance: DisplayObject
08/24/25 - 01:03:52.068518 [trace] 	var BottomRightRefInstance: DisplayObject
08/24/25 - 01:03:52.068524 [trace] 	var ConfigWarning: DisplayObject
08/24/25 - 01:03:52.068529 [trace] 	var QuestItemList: DisplayObject
08/24/25 - 01:03:52.068535 [trace] 	var scl_fMagica: Number
08/24/25 - 01:03:52.068540 [trace] 	var pos_fActivateNamePos: Object
08/24/25 - 01:03:52.068545 [trace] 	var ChargeMeterFrameAnim: DisplayObject
08/24/25 - 01:03:52.068551 [trace] 	var pos_fStealthMeterPos: Object
08/24/25 - 01:03:52.068556 [trace] 	var MessagesBlock_mc: DisplayObject
08/24/25 - 01:03:52.068561 [trace] 	var cfg_bShowTOD: Number
08/24/25 - 01:03:52.068567 [trace] 	var ShoutLetterInstance: DisplayObject
08/24/25 - 01:03:52.068572 [trace] 	var HealthBar: DisplayObject
08/24/25 - 01:03:52.068577 [trace] 	var scl_fClock: Number
08/24/25 - 01:03:52.068583 [trace] 	var CompassFrame: DisplayObject
08/24/25 - 01:03:52.068588 [trace] 	var HealthPenaltyMeterB: DisplayObject
08/24/25 - 01:03:52.068593 [trace] 	var CompassThreeSixtyX: Number
08/24/25 - 01:03:52.068599 [trace] 	var pos_fRightChargeMeterPos: Object
08/24/25 - 01:03:52.068604 [trace] 	var cfg_bAltStamina: Number
08/24/25 - 01:03:52.068609 [trace] 	var ChargeMeterHolder: DisplayObject
08/24/25 - 01:03:52.068614 [trace] 	var HealthPenaltyMeterAlt: DisplayObject
08/24/25 - 01:03:52.068620 [trace] 	var pos_fActivateButtonPos: Object
08/24/25 - 01:03:52.068625 [trace] 	var pos_fLeftChargeMeterPos: Object
08/24/25 - 01:03:52.068630 [trace] 	var cfg_bPersistentClock: Number
08/24/25 - 01:03:52.068636 [trace] 	var pos_fSubtitlePos: Object
08/24/25 - 01:03:52.068641 [trace] 	var Stamina_mc: DisplayObject
08/24/25 - 01:03:52.068646 [trace] 	var cfg_bAltCharge: Number
08/24/25 - 01:03:52.068652 [trace] 	var ObjectiveUpdate: DisplayObject
08/24/25 - 01:03:52.068657 [trace] 	var cfg_bHideEnemyHealth: Number
08/24/25 - 01:03:52.068662 [trace] 	var scl_fHealth: Number
