[00:10:39.740] [info] Initializing TheNewGentleman 4.2.3!
[00:10:39.740] [info] Game version : 1-5-97-0
[00:13:00.704] [info] Loading ini files...
[00:13:00.704] [info] 	- Found [2] [CoveringRecord] entries in [Cold Foreigner_TNG.ini].
[00:13:00.704] [info] 	- Found [2] [RevealingRecord] entries in [Cold Foreigner_TNG.ini].
[00:13:00.704] [info] 	- Found [1] [ExcludeRacesInMod] entries in [Vigilant_TNG.ini].
[00:13:00.704] [info] Loading TNG settings...
[00:13:00.705] [info] 	TNG detected Racial Skin Variance and would force the player and NPCs to be reloaded
[00:13:00.705] [info] TNG settings loaded.
[00:13:00.705] [info] Loading the addons...
[00:13:00.705] [info] Processing races...
[00:13:00.706] [info] 	The race [0x13742: DarkElfRace] was recognized as a new primary group [DarkElfRace].
[00:13:00.706] [info] 	The race [0x131f0: DremoraRace] was recognized as a member of existing group DarkElfRace.
[00:13:00.706] [info] 	The race [0x2c564f3c: HPGThanosRace] was recognized as a member of existing group DarkElfRace.
[00:13:00.706] [warning] 	The race [0x57277bb9: JRmihailimpracebossfire] cannot have any genitals since their skin cannot be recognized!  It was last modified by [Lucien.esp].
[00:13:00.706] [warning] 	The race [0x57277bba: JRmihailimpracebossshock] cannot have any genitals since their skin cannot be recognized!  It was last modified by [Lucien.esp].
[00:13:00.706] [warning] 	The race [0x57277bb6: JRmihailimprace] cannot have any genitals since their skin cannot be recognized!  It was last modified by [Lucien.esp].
[00:13:00.706] [warning] 	The race [0x57277bb7: JRmihailimpracechargedfire] cannot have any genitals since their skin cannot be recognized!  It was last modified by [Lucien.esp].
[00:13:00.706] [warning] 	The race [0x57277bb8: JRmihailimpracechargedshock] cannot have any genitals since their skin cannot be recognized!  It was last modified by [Lucien.esp].
[00:13:00.706] [info] 	The race [0x13743: HighElfRace] was recognized as a new primary group [HighElfRace].
[00:13:00.706] [info] 	The race [0x88840: HighElfRaceVampire] was recognized as a new primary group [HighElfRaceVampire].
[00:13:00.706] [warning] 	The race [0xfe68ba90: ksws03_angel_race] cannot have any genitals since their skin cannot be recognized!  It was last modified by [ksws03_quest.esp].
[00:13:00.706] [info] 	The race [0x8883a: ArgonianRaceVampire] was recognized as a new primary group [ArgonianRaceVampire].
[00:13:00.706] [info] 	The race [0x13740: ArgonianRace] was recognized as a new primary group [ArgonianRace].
[00:13:00.706] [info] 	The race [0xfe010824: BGSSSE018_ArgonianRaceDoppelganger] was recognized as a member of existing group ArgonianRace.
[00:13:00.706] [info] 	The race [0x4dab5377: TOK_RACE_PolymorphArgonianRace] was recognized as a member of existing group ArgonianRace.
[00:13:00.706] [info] 	The race [0xde0df5aa: HRI_Alternate_Race_ArgonianRace] was recognized as a new secondary group [HRI_Alternate_Race_ArgonianRace].
[00:13:00.706] [info] 	The race [0x223cdd29: zzzCrbBirdmanRace] was recognized as a new primary group [zzzCrbBirdmanRace].
[00:13:00.706] [info] 	The race [Vigilant.esm: xx1e5405: zzzCHBlackHandRace] was ignored because an ini excludes it!
[00:13:00.706] [info] 	The race [Vigilant.esm: xx2b8859: zzzCHBoneHumanBossRace] was ignored because an ini excludes it!
[00:13:00.706] [info] 	The race [Vigilant.esm: xxb07e1: zzzCHBoneHumanRace] was ignored because an ini excludes it!
[00:13:00.706] [info] 	The race [Vigilant.esm: xx4fe93f: zzzCHBoneHumanBossRacex015] was ignored because an ini excludes it!
[00:13:00.706] [info] 	The race [Vigilant.esm: xx4fe93e: zzzCHBoneHumanBossRacex020] was ignored because an ini excludes it!
[00:13:00.706] [info] 	The race [0x2231b016: zzzCrbBoneSmithRace] was recognized as a new primary group [zzzCrbBoneSmithRace].
[00:13:00.706] [info] 	The race [0x88884: WoodElfRaceVampire] was recognized as a new primary group [WoodElfRaceVampire].
[00:13:00.706] [info] 	The race [0x13749: WoodElfRace] was recognized as a new primary group [WoodElfRace].
[00:13:00.706] [info] 	The race [0x97a3d: DA13AfflictedRace] was recognized as a new secondary group [DA13AfflictedRace].
[00:13:00.706] [info] 	The race [0x110280b9: BretonRaceChildArnima] was recognized as a new primary group [BretonRaceChildArnima].
[00:13:00.706] [info] 	The race [0x8883c: BretonRaceVampire] was recognized as a new primary group [BretonRaceVampire].
[00:13:00.706] [info] 	The race [0x13741: BretonRace] was recognized as a new primary group [BretonRace].
[00:13:00.706] [info] 	The race [0x4d438a28: TOK_RACE_PolymorphBretonRace] was recognized as a member of existing group BretonRace.
[00:13:00.706] [info] 	The race [0xde0df5ab: HRI_Alternate_Race_BretonRace] was recognized as a new secondary group [HRI_Alternate_Race_BretonRace].
[00:13:00.706] [info] 	The race [0x1f000810: _lull_ChronographerRace] was recognized as a member of existing group DarkElfRace.
[00:13:00.706] [info] 	The race [0xb10bbee7: WB_ConjureCraftlord_Race] was recognized as a member of existing group HighElfRace.
[00:13:00.706] [info] 	The race [0x1a5201c8: DwaSpDwemerologist02] was recognized as a member of existing group DarkElfRace.
[00:13:00.706] [info] 	The race [0x4dab5378: TOK_RACE_PolymorphDarkElfRace] was recognized as a member of existing group DarkElfRace.
[00:13:00.706] [info] 	The race [0x3601ab49: MASNerevarineRace] was recognized as a member of existing group DarkElfRace.
[00:13:00.706] [info] 	The race [0x1a515f9d: DwaSpDwemerologist01] was recognized as a member of existing group DarkElfRace.
[00:13:00.706] [info] 	The race [0x1f06779a: _Lull_FyrRace] was recognized as a member of existing group DarkElfRace.
[00:13:00.706] [info] 	The race [0xde0df5ac: HRI_Alternate_Race_DarkElfRace] was recognized as a new secondary group [HRI_Alternate_Race_DarkElfRace].
